,title,area,numberOfRooms,price,town,district
48,Katta Tek Müstakil Girişli,130,2+1,3000000,Kınalıada,Kınalıada Mh.
49,"Turyap'tan, Heybeli Ada'da, 5+1, 250m2, Deniz Manzaralı Dublex",250,5+1,3200000,Heybeliada,nan
50,Heybeliada Plaj Mevkii Satılık 3+2 Dubleks Daire,170,3+2,3000000,Heybeliada,nan
51,Planet'ten İskeleye Yakın Düz Giriş 3+1 Bahçe Katı Daire,115,3+1,1990000,Büyükada,Maden Mh.
52,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230,5+2,10880000,Büyükada,Maden Mh.
53,BÜYÜKADA 2 ADET YALI DAİRESİ Zu Verkaufen For Sale,230,5+2,10880000,Büyükada,Maden Mh.
54,Büyükada Emlak'tan Bakımlı Sitede Deniz Doğa Havuz Manzaralı 4+1,180,4+1,3650000,Büyükada,Nizam Mh.
55,KINALIADA NİDA SİTESİ SATILIK DENİZ MANZARALI MESUT ALTAY' DAN,130,3+1,4750000,Kınalıada,Kınalıada Mh.
56,Heybeliada Plaj Mevkii Satılık 2+1 Daire,80,2+1,1800000,Heybeliada,nan
57,Büyük ada nizam mah.,140,3+1,6000000,Büyükada,Nizam Mh.
58,Kınalıada Da 2+1 Satılık Daire,80,2+1,850000,Kınalıada,Kınalıada Mh.
59,Planet'ten Deniz Manzaralı Nizam Caddesinde Ara Kat Daire,105,3+1,3500000,Büyükada,Nizam Mh.
60,Heybeliada Plaj Mevkii Satılık 2+1 Daire,90,2+1,2000000,Heybeliada,nan
61,"Büyükada, Maden Sahibinden Satılık daire",200,4+1,4650000,Büyükada,Maden Mh.
62,BÜYÜKADA İSKELE KARŞISI TERRACE LİDO EVLERİN'DE 120M2 2+1,120,2+1,7800000,Büyükada,Nizam Mh.
63,heybeliada'da denize 100 m. muhteşem manzaralı muhteşem dubleks.,256,4+2,6500000,Heybeliada,nan
64,EXTRA'DAN BÜYÜKADA'DA DENİZ MANZARALI 4+1 DAİRE,150,4+1,4350000,Büyükada,Maden Mh.
65,Planet'ten Merkezde Ana Caddede Alçak Giriş 2+1 Daire,115,2.5+1,1850000,Büyükada,Maden Mh.
66,BÜYÜKADA EMLAK'TAN SONSUZ DENİZ MANZARASI,140,3+1,12000000,Büyükada,Maden Mh.
67,HEYBELİADA SAHİLDE DENİZ MANZARALI FULL EŞYALI SATILIK 3+1 DAİRE,165,3+1,4400000,Heybeliada,nan
68,BÜYÜKADA DENİZ MANZARALI YENİLENMİŞ ÇINARA YAKIN 3+1,85,3+1,1550000,Büyükada,Maden Mh.
69,KONAK EMLAK 1+1 İSKELEYE YAKIN YATIRIM İÇİN FIRSAT SATILIK DAİRE,75,1+1,1150000,Büyükada,Maden Mh.
70,Büyükada Madende Geniş 3+1 Satılık Çatı Dublex,200,3+1,4700000,Büyükada,Maden Mh.
71,Büyükada Emlak'tan Deniz Doğa ve Havuz Manzaralı Dublex Daire,140,3+1,4000000,Büyükada,Maden Mh.
72,KINALIADA AKASYA CADDESİ'NDE DENİZ MANZARALI GENİŞ TERASLI 2+1,162,2+1,7650000,Kınalıada,Kınalıada Mh.
73,KINALIADA SAHİLDE EŞSİZ DENİZ MANZARALI SATILIK 4+1 DAİRE,168,4+1,7500000,Kınalıada,Kınalıada Mh.
74,Büyükada Emlak'tan Ana Cadde de 4+1 Geniş Balkonlu Deniz Manzara,160,4+1,4500000,Büyükada,Nizam Mh.
75,Borsem CITY'den***İSTANBUL BÜYÜKADA BAHÇE KATI 3+1 BOŞ HEMEN TES,165,3+1,3100000,Büyükada,Nizam Mh.
76,KINALIADA ALSANCAK CADDESİ'NDE DENİZE SIFIR 3+1 BAHÇE KATI,120,3+1,7500000,Kınalıada,Kınalıada Mh.
77,Büyükada Emlak'tan Merkeze Yakın 3+1 Ara Kat Daire,120,3+1,3250000,Büyükada,Nizam Mh.
78,BURGAZADA`DA SATILIK DAİRE,100,2+1,3500000,Burgazada,Burgazada Mh.
79,KINALIADA AKASYA CADDESİ'NDE DENİZ MANZARALI EMSALSİZ 5+2 DAİRE,279,5+2,14000000,Kınalıada,Kınalıada Mh.
80,Kınalıada Narçiçeği Sokakta 2+1 80m2 Satılık Daire,80,2+1,3000000,Kınalıada,Kınalıada Mh.
81,Kupon deniz Bahçeli,160,3+1,8500000,Kınalıada,Kınalıada Mh.
82,Planet'ten Mükemmel Konumda Deniz Manzaralı Ara Kat Daire,115,2+1,4750000,Büyükada,Nizam Mh.
83,Heybeli'de Merkezde Harika Masrafsız 137 m2 net 4+2,160,4+2,2800000,Heybeliada,nan
84,Büyükada Emlak'tan 4+1 Deniz ve Doğa Manzaralı Ara Kat Daire,160,4+1,4250000,Büyükada,Maden Mh.
85,Adalar Sedef Adası Muhteşem Deniz Manzaralı Yenilenmiş Müstakil,350,7+3,8500000,Büyükada,Maden Mh.
86,"SAHİBİNDEN 3+1 HAVUZLU, BAHÇELİ, DENİZ MANZARALI, ARAKAT",130,3+1,4450000,Büyükada,Nizam Mh.
87,SATILIK ÇATI DUBLEKS,180,4+1,5200000,Burgazada,Burgazada Mh.
88,Planet'ten Merkeze Yakın Yüksek Giriş Ferah Geniş Bahçe Katı,125,3+1,3100000,Büyükada,Maden Mh.
89,Planet'ten Kendine Ait Bahçeli Deniz Manzaralı Sıfır Bahçe Katı,125,3+1,3850000,Büyükada,Nizam Mh.
90,Büyükada Emlak'tan 3+1 Keyifli Bahçe Katı Daire,115,3+1,1990000,Büyükada,Maden Mh.
91,Planet'ten Deniz Manzaralı Havuzlu 3+1 Dubleks Daire,150,3+1,4500000,Büyükada,Maden Mh.
92,Planet'ten Anadolu Kulübü Mevkiinde İçi Sıfırlanmış 3+1 Daire,125,3+1,4750000,Büyükada,Nizam Mh.
